ORG_NPI_NUM,Claims,LAT,LNG,ZIP_CODE,Provider Organization Name (Legal Business Name),Provider First Line Business Practice Location Address,Provider Business Mailing Address City Name,Provider Business Mailing Address State Name,White,Non-White,Unknown,% non-white,Masked Racial Diversity,No_Exptirpation,Exptirpation,% treated with extirpation,Masked Extirpation,Zip Code,Latitude,Longitude,Cummulative Claim Count,% of Claims,Deciles,Abbott Sites,Final_Zip_Code,Final_Latitude,Final_Longitude,Min,Max,Range,Average,Mapped_State_Name
1134194038,918,39.727715,-75.541154,19801,"CHRISTIANA CARE HEALTH SERVICES, INC.",501 W 14TH ST,WILMINGTON,DE,690,215,13,23.42,23.42%,889,29,3.1,3.10%,19801,39.750343,-75.55069,918,0%,Decile 1,0,19801,39.750343,-75.55069,328,918,328-918,403,Delaware
1306938071,650,28.555829,-81.346291,32803,"ADVENTIST HEALTH SYSTEM-SUNBELT, INC",601 E ROLLINS ST,ORLANDO,FL,493,147,10,22.61,22.61%,641,9,1.3,<1.69%,32703,28.64923,-81.540273,1568,1%,Decile 1,0,32703,28.64923,-81.540273,328,918,328-918,403,Florida
1558365890,611,35.132549,-90.003728,38104,METHODIST HEALTHCARE - MEMPHIS HOSPITALS,1265 UNION AVE,MEMPHIS,TN,310,298,3,48.77,48.77%,572,39,6.3,6.30%,38104,35.1362,-90.019577,2179,1%,Decile 1,0,38104,35.1362,-90.019577,328,918,328-918,403,Tennessee
1841266194,601,43.971218,-92.507094,55902,MAYO CLINIC HOSPITAL-ROCHESTER,1216 2ND ST SW,ROCHESTER,MN,562,28,11,4.65,4.65%,601,0,0,0%,55902,44.020866,-92.48159,2780,1%,Decile 1,0,55902,44.020866,-92.48159,328,918,328-918,403,Minnesota
1164400131,546,40.570308,-75.488926,18103,LEHIGH VALLEY HOSPITAL,1200 S CEDAR CREST BLVD,ALLENTOWN,PA,514,16,16,2.93,2.93%,546,0,0,0%,18103,40.566757,-75.524162,3326,1%,Decile 1,0,18103,40.566757,-75.524162,328,918,328-918,403,Pennsylvania
1720085137,536,26.137498,-81.799105,34102,NAPLES COMMUNITY HOSPITAL INC,350 7TH ST N,NAPLES,FL,504,19,13,3.54,3.54%,526,10,1.8,<2.05%,34102,26.150915,-81.799026,3862,1%,Decile 1,0,34102,26.150915,-81.799026,328,918,328-918,403,Florida
1447221056,531,34.725269,-86.560866,35801,THE HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE,101 SIVLEY RD SW,HUNTSVILLE,AL,428,99,4,18.64,18.64%,480,51,9.6,9.60%,35801,34.720852,-86.58049,4393,1%,Decile 1,0,35801,34.720852,-86.58049,328,918,328-918,403,Alabama
1578620449,525,30.289637,-81.640966,32207,SOUTHERN BAPTIST HOSPITAL OF FLORIDA INC,800 PRUDENTIAL DR,JACKSONVILLE,FL,411,109,5,20.76,20.76%,520,5,0.9,<2.09%,32207,30.315687,-81.663704,4918,2%,Decile 1,1,32207,30.315687,-81.663704,328,918,328-918,403,Florida
1245294826,503,27.310893,-82.521168,34239,SARASOTA COUNTY PUBLIC HOSPITAL DISTRICT,1700 S TAMIAMI TRL,SARASOTA,FL,466,29,8,5.76,5.76%,487,16,3.1,3.10%,34239,27.318557,-82.531735,5421,2%,Decile 1,1,34239,27.318557,-82.531735,328,918,328-918,403,Florida
1366452880,473,37.044186,-113.577299,84790,IHC HEALTH SERVICES INC,1380 E MEDICAL CENTER DR,ST GEORGE,UT,463,8,2,1.69,<2.32%,458,15,3.1,3.10%,84790,37.096802,-113.553971,5894,2%,Decile 1,0,84790,37.096802,-113.553971,328,918,328-918,403,Utah
