PRVDR_STATE_CD,State Code,State Name
1,1,Alabama
2,2,Alaska
3,3,Arizona
4,4,Arkansas
5,5,California
6,6,Colorado
7,7,Connecticut
8,8,Delaware
9,9,District of Columbia
10,10,Florida
11,11,Georgia
12,12,Hawaii
13,13,Idaho
14,14,Illinois
15,15,Indiana
16,16,Iowa
17,17,Kansas
18,18,Kentucky
19,19,Louisiana
20,20,Maine
21,21,Maryland
22,22,Massachusetts
23,23,Michigan
24,24,Minnesota
25,25,Mississippi
26,26,Missouri
27,27,Montana
28,28,Nebraska
29,29,Nevada
30,30,New Hampshire
31,31,New Jersey
32,32,New Mexico
33,33,New York
34,34,North Carolina
35,35,North Dakota
36,36,Ohio
37,37,Oklahoma
38,38,Oregon
39,39,Pennsylvania
40,40,Puerto Rico
41,41,Rhode Island
42,42,South Carolina
43,43,South Dakota
44,44,Tennessee
45,45,Texas
46,46,Utah
47,47,Vermont
48,48,Virgin Islands
49,49,Virginia
50,50,Washington
51,51,West Virginia
52,52,Wisconsin
53,53,Wyoming
64,64,American Samoa
65,65,Guam
